1|prueba
2|20241017-155825:50|
3|20241017-173601:1|50.0
4|20241017-173601:1|50.0
5|2|20241018-001347|en curso|20241017-173601:2|20241017-173601:2|200.0
6|2|2024/10/18|en curso|20241017-173601:2|100.0
7|2|2024/10/18|20241018|cancelado|20241017-173601:2|100.0
8|2|2024/10/18|2024/10/18|cancelado|20241017-173601:8|400.0
9|2|2024/10/18|2024/10/18|en curso|20241017-173601:5|250.0
10|2|2024/10/18|2024/10/18|en curso|20241017-173601:4|200.0
11|2|2024/10/18|2024/9/18|cancelado|20241017-173601:5|250.0
12|2|2024/10/18|2024/10/18|en curso|20241017-173601:8|400.0
13|2|2024/10/18|2024/9/18|en curso|20241017-173601:8|400.0
14|2|2024/10/18|2024/9/18|en curso|20241017-173601:3|150.0
15|2|2024/10/18|2024/10/18|en curso|20241017-173601:9|450.0
16|2|2024/10/18|2024/10/18|completado|20241017-173601:3|200.0
17|2|2024/10/18|2024/11/18|completado|20241017-173601:1|50.0
18|2|2024/10/18|2024/11/18|en curso|20241017-173601:10;|500.0
19|2|2024/10/18|2024/11/18|en curso|20241017-173601:10;|500.0
20|2|2024/10/18|2024/11/18|pendiente|20241017-173601:10;|500.0
21|2|2024/10/18|2024/11/18|completado|20241017-173601:15;|750.0
22|2|2024/10/18|2024/11/18|pendiente|20241017-160819:1;|0.0
23|2024/10/18|2024/11/18|pendiente|20241017-161016:10;|0.0
24|2|2024/10/18|2024/11/18|completado|20241017-173601:15;|750.0
25|2|2024/10/18|2024/11/18|completado|20241017-173601:0|900.0
